electoral_division,all_persons,total_religions,difference,relative_difference
01001Carlow Urban,4560,4567,-7,-0.0015350877192982456
01002Graigue Urban,1405,1405,0,0
01019Carlow Rural,14546,14564,-18,-0.001237453595490169
02001Arran Quay A,1785,1811,-26,-0.014565826330532213
02002Arran Quay B,4166,4231,-65,-0.015602496399423908
02003Arran Quay C,4471,4515,-44,-0.009841198836949228
02005Arran Quay E,3293,3303,-10,-0.0030367446097783178
02006Ashtown A,10566,10628,-62,-0.005867878099564641
02008Ayrfield,5639,5649,-10,-0.0017733640716439084
02010Ballybough B,3698,3749,-51,-0.013791238507301243
02011Ballygall A,3606,3632,-26,-0.007210205213533
02016Ballymun B,4379,4397,-18,-0.004110527517698105
02017Ballymun C,6112,6128,-16,-0.002617801047120419
02018Ballymun D,2458,2472,-14,-0.005695687550854353
02027Botanic A,3174,3184,-10,-0.00315059861373661
02030Cabra East A,5650,5682,-32,-0.005663716814159292
02032Cabra East C,4085,4113,-28,-0.006854345165238678
02038Clontarf East B,7107,7157,-50,-0.007035317292809906
02044Clontarf West C,3659,3688,-29,-0.007925662749385078
02045Clontarf West D,2297,2323,-26,-0.011319111885067479
02052Finglas North B,2874,2874,0,0
02053Finglas North C,3464,3465,-1,-2.886836027713626e-4
02055Finglas South B,4206,4216,-10,-0.0023775558725630053
02058Grace Park,5806,5814,-8,-0.0013778849466069584
02059Grange A,9696,9718,-22,-0.002268976897689769
02065Harmonstown B,2758,2762,-4,-0.0014503263234227702
02066Inns Quay A,3919,3955,-36,-0.009186016841030875
02067Inns Quay B,3666,3739,-73,-0.019912711402073104
02068Inns Quay C,2757,2817,-60,-0.02176278563656148
02071Kilmore C,1490,1490,0,0
02073Mountjoy A,5389,5444,-55,-0.010205975134533309
02074Mountjoy B,3963,4060,-97,-0.02447640676255362
02075North City,5654,5847,-193,-0.03413512557481429
02076North Dock A,1365,1374,-9,-0.006593406593406593
02082Priorswood C,4854,4878,-24,-0.004944375772558714
02086Raheny-Greendale,2169,2163,6,0.0027662517289073307
02088Rotunda A,5965,6080,-115,-0.019279128248113998
02089Rotunda B,2458,2518,-60,-0.024410089503661515
02091Whitehall B,4128,4141,-13,-0.0031492248062015503
02093Whitehall D,3456,3467,-11,-0.00318287037037037
02097Cherry Orchard C,4545,4584,-39,-0.008580858085808581
02101Crumlin D,4089,4096,-7,-0.0017119100024455857
02109Kilmainham B,2414,2422,-8,-0.0033140016570008283
02115Kimmage E,3395,3400,-5,-0.0014727540500736377
02120Merchants Quay B,3966,4025,-59,-0.014876449823499747
02121Merchants Quay C,3566,3598,-32,-0.0089736399326977
02123Merchants Quay E,2489,2542,-53,-0.02129369224588188
02128Pembroke East D,5263,5365,-102,-0.019380581417442522
02129Pembroke East E,3902,3953,-51,-0.013070220399794977
02130Pembroke West A,4992,5013,-21,-0.004206730769230769
02131Pembroke West B,3003,3006,-3,-9.99000999000999e-4
02132Pembroke West C,4852,4923,-71,-0.014633140972794724
02133Rathfarnham,4683,4713,-30,-0.0064061499039077515
02137Rathmines East D,2757,2769,-12,-0.004352557127312296
02138Rathmines West A,5461,5542,-81,-0.014832448269547702
02139Rathmines West B,3713,3767,-54,-0.01454349582547805
02141Rathmines West D,3106,3127,-21,-0.006761107533805538
02145Royal Exchange B,2082,2102,-20,-0.009606147934678195
02146St. Kevin's,5122,5183,-61,-0.011909410386567747
02147South Dock,7004,7094,-90,-0.012849800114220445
02152Ushers A,3930,3979,-49,-0.012468193384223919
02155Ushers D,2188,2192,-4,-0.0018281535648994515
02157Ushers F,3484,3503,-19,-0.0054535017221584384
02158Walkinstown A,2765,2792,-27,-0.00976491862567812
03006Clondalkin-Dunawley,11323,11351,-28,-0.0024728428861609114
03007Clondalkin-Monastery,11316,11350,-34,-0.003004595263343938
03010Clondalkin Village,9152,9158,-6,-6.555944055944056e-4
03012Firhouse-Ballycullen,8230,8242,-12,-0.0014580801944106927
03014Firhouse Village,12214,12314,-100,-0.008187326019322089
03015Lucan-Esker,32236,32522,-286,-0.008872068494850477
03016Lucan Heights,5196,5202,-6,-0.0011547344110854503
03017Lucan-St. Helen's,10658,10875,-217,-0.020360292737849502
03018Newcastle,4257,4284,-27,-0.006342494714587738
03020Palmerston West,7521,7521,0,0
03021Rathcoole,5009,5022,-13,-0.0025953284088640447
03025Rathfarnham-St. Enda's,3877,3884,-7,-0.0018055197317513542
03027Saggart,4640,4739,-99,-0.021336206896551725
03030Tallaght-Fettercairn,8380,8439,-59,-0.007040572792362768
03032Tallaght-Jobstown,17824,18013,-189,-0.010603680430879713
03035Tallaght-Kiltipper,8478,8492,-14,-0.0016513328615239443
03038Tallaght-Oldbawn,4579,4584,-5,-0.0010919414719371041
03039Tallaght-Springfield,11012,11088,-76,-0.006901561932437341
03045Templeogue-Osprey,2246,2241,5,0.002226179875333927
03047Terenure-Cherryfield,2151,2149,2,9.298000929800093e-4
04001Airport,5018,5039,-21,-0.004184934236747709
04002Balbriggan Rural,16495,16517,-22,-0.0013337374962109731
04003Balbriggan Urban,8116,8124,-8,-9.857072449482504e-4
04004Baldoyle,7524,7524,0,0
04005Balgriffin,3113,3120,-7,-0.0022486347574686796
04006Ballyboghil,1162,1166,-4,-0.0034423407917383822
04008Blanchardstown-Abbotstown,6195,6291,-96,-0.01549636803874092
04009Blanchardstown-Blakestown,38894,39256,-362,-0.009307348177096724
04010Blanchardstown-Coolmine,11320,11398,-78,-0.006890459363957597
04012Blanchardstown-Delwood,5153,5200,-47,-0.009120900446341937
04013Blanchardstown-Mulhuddart,4123,4137,-14,-0.003395585738539898
04015Blanchardstown-Tyrrelstown,3257,3264,-7,-0.0021492170709241634
04016Castleknock-Knockmaroon,19027,19097,-70,-0.0036789824985546853
04019Donabate,9399,9416,-17,-0.0018087030535163316
04020Dubber,7372,7462,-90,-0.012208355941399891
04021Garristown,1628,1624,4,0.002457002457002457
04026Kinsaley,9621,9697,-76,-0.00789938675813325
04028Lusk,9623,9650,-27,-0.002805777823963421
04029Malahide East,7429,7452,-23,-0.0030959752321981426
04030Malahide West,6149,6149,0,0
04031Portmarnock North,4109,4103,6,0.0014602092966658554
04032Portmarnock South,3621,3625,-4,-0.0011046672190002762
04033Rush,9921,9932,-11,-0.001108759197661526
04034Skerries,8501,8480,21,0.002470297612045642
04036Swords-Forrest,15153,15214,-61,-0.004025605490661915
04037Swords-Glasmore,7711,7730,-19,-0.0024640124497471143
04038Swords-Lissenhall,10447,10487,-40,-0.0038288503876711018
04039Swords-Seatown,7003,7020,-17,-0.0024275310581179494
04040Swords Village,2674,2702,-28,-0.010471204188481676
04041The Ward,9602,9720,-118,-0.012289106436159134
05006Ballinteer-Woodpark,5405,5391,14,0.0025901942645698427
05007Ballybrack,2962,2958,4,0.0013504388926401081
05011Blackrock-Glenomena,2083,2105,-22,-0.01056168987037926
05013Blackrock-Newpark,2316,2323,-7,-0.0030224525043177895
05015Blackrock-Stradbrook,2462,2463,-1,-4.0617384240454913e-4
05018Cabinteely-Granitefield,2702,2723,-21,-0.007772020725388601
05020Cabinteely-Loughlinstown,4280,4370,-90,-0.02102803738317757
05022Churchtown-Castle,1476,1464,12,0.008130081300813009
05028Clonskeagh-Farranboley,1615,1618,-3,-0.0018575851393188853
05030Clonskeagh-Roebuck,2699,2715,-16,-0.005928121526491293
05037Dundrum-Balally,8035,8158,-123,-0.015308027380211574
05039Dundrum-Sandyford,7688,7699,-11,-0.0014308012486992717
05049Dún Laoghaire-Sallynoggin West,2886,2891,-5,-0.0017325017325017325
05050Dún Laoghaire-Sandycove,3690,3678,12,0.0032520325203252032
05054Foxrock-Carrickmines,5951,5955,-4,-6.721559401781214e-4
05057Glencullen,19773,19859,-86,-0.004349365296110858
05059Killiney South,6386,6381,5,7.829627309740056e-4
05060Shankill-Rathmichael,5623,5622,1,1.7784101013693757e-4
05061Shankill-Rathsallagh,3268,3282,-14,-0.004283965728274173
05063Stillorgan-Deerpark,2955,2977,-22,-0.007445008460236886
05064Stillorgan-Kilmacud,3973,3970,3,7.550969041026932e-4
05066Stillorgan-Merville,3217,3233,-16,-0.004973577867578489
05068Stillorgan-Priory,2195,2200,-5,-0.002277904328018223
06001Athy East Urban,3910,3914,-4,-0.0010230179028132991
06003Naas Urban,21597,21648,-51,-0.002361439088762328
06004Athy Rural,3834,3840,-6,-0.001564945226917058
06027Monasterevin,4897,4903,-6,-0.001225239942822136
06034Celbridge,15653,15703,-50,-0.0031942758576630676
06037Donaghcumper,6257,6308,-51,-0.008150871024452612
06038Kilcock,6930,6945,-15,-0.0021645021645021645
06039Leixlip,15576,15653,-77,-0.0049435028248587575
06040Maynooth,15998,16062,-64,-0.004000500062507814
06044Carbury,1913,1913,0,0
06059Bodenstown,4940,4945,-5,-0.0010121457489878543
06062Clane,8142,8171,-29,-0.0035617784328174896
06066Droichead Nua (Newbridge) Urban,7762,7772,-10,-0.0012883277505797476
06071Kildare,9874,9899,-25,-0.0025319019647559245
06078Morristownbiller,14781,14805,-24,-0.0016237061091942358
06079Naas Rural,2739,2745,-6,-0.002190580503833516
06082Oughterard,743,743,0,0
07001Kilkenny No. 1 Urban,5782,5790,-8,-0.0013836042891732965
07002Kilkenny No. 2 Urban,4060,4052,8,0.0019704433497536944
07013Mallardstown,252,252,0,0
07030Moneenroe,1270,1269,1,7.874015748031496e-4
07041Ballybeagh,291,291,0,0
07050Kilkenny Rural,17876,17901,-25,-0.001398523159543522
07099Aglish,883,883,0,0
07106Kilculliheen (part),5246,5253,-7,-0.0013343499809378575
08070Portarlington South,7138,7145,-7,-9.80666853460353e-4
08071Portlaoighise (Maryborough) Rural,16105,16122,-17,-0.001055572803477181
08072Portlaoighise (Maryborough) Urban,3878,3883,-5,-0.0012893243940175349
08086Moneymore,138,138,0,0
08094Graigue Rural,4786,4779,7,0.0014625992478061011
09001Longford No. 1 Urban,3592,3591,1,2.7839643652561246e-4
09030Meathas Truim,2335,2346,-11,-0.004710920770877944
09032Moatfarrell,217,217,0,0
09043Caldragh,2172,2168,4,0.001841620626151013
09051Longford Rural,5704,5700,4,7.012622720897616e-4
10001Fair Gate,10424,10452,-28,-0.002686108979278588
10002St. Laurence Gate,4068,4088,-20,-0.004916420845624385
10003West Gate,6305,6322,-17,-0.002696272799365583
10007Dundalk Urban No. 4,6130,6136,-6,-9.787928221859706e-4
10020Barronstown,747,747,0,0
10027Dundalk Rural,19265,19309,-44,-0.0022839345964183752
10030Haggardstown,6932,6943,-11,-0.0015868436237738027
10039Monasterboice,1373,1373,0,0
10041St. Peter's,9721,9751,-30,-0.0030861022528546446
10042Termonfeckin,3545,3545,0,0
10047St. Mary's (Part Urban),6859,6882,-23,-0.003353258492491617
11008Donaghmore,11758,11776,-18,-0.0015308725973805068
11009Dunboyne,10094,10104,-10,-9.906875371507827e-4
11010Dunshaughlin,5840,5851,-11,-0.0018835616438356165
11011Kilbrew,3635,3657,-22,-0.006052269601100412
11016Ratoath,11082,11095,-13,-0.001173073452445407
11028Girley,364,364,0,0
11038Nobber,763,763,0,0
11043Ardcath,1949,1949,0,0
11045Julianstown,10176,10178,-2,-1.9654088050314466e-4
11047St. Mary's (Part Rural),11864,11900,-36,-0.0030343897505057315
11048Stamullin,5009,5014,-5,-9.982032341784787e-4
11055Navan Rural,28117,28141,-24,-8.535761283209447e-4
11063Killallon,301,301,0,0
11081Innfield,4343,4364,-21,-0.004835367257655998
11092Trim Rural,8793,8793,0,0
12002Tullamore Urban,11437,11453,-16,-0.0013989682609075807
12028Mounterin,249,249,0,0
12042Edenderry Urban,7001,7068,-67,-0.009570061419797172
12044Knockdrin,204,203,1,0.004901960784313725
12053Gorteen,282,279,3,0.010638297872340425
13001Athlone East Urban,4382,4645,-263,-0.06001825650387951
13003Athlone East Rural,7560,7598,-38,-0.0050264550264550265
13038Clonarney,504,504,0,0
13083Kinnegad,2915,2936,-21,-0.007204116638078902
13089Mullingar Rural,10783,10809,-26,-0.0024112028192525272
13090Mullingar North Urban,5610,5645,-35,-0.006238859180035651
13091Mullingar South Urban,4422,4435,-13,-0.002939846223428313
14021Enniscorthy Rural,9985,9981,4,4.0060090135202804e-4
14044Ballygarrett,832,831,1,0.001201923076923077
14049Courtown,2639,2636,3,0.0011367942402425162
14117Rathaspick,1760,1757,3,0.0017045454545454545
14119St. Helen's,2240,2237,3,0.0013392857142857143
14123Wexford Rural,12505,12539,-34,-0.0027189124350259896
15001Arklow No. 1 Urban,9976,9962,14,0.0014033680834001604
15002Arklow No. 2 Urban,3013,3020,-7,-0.0023232658479920344
15004Bray No. 2,6414,6404,10,0.0015590894917368258
15005Bray No. 3,6459,6464,-5,-7.741136398823347e-4
15007Wicklow Urban,6762,6732,30,0.0044365572315882874
15033Enniskerry,2910,2912,-2,-6.872852233676976e-4
15035Kilmacanoge,14706,14686,20,0.0013599891200870393
15056Kilcoole,10731,10768,-37,-0.003447954524275464
15066Wicklow Rural,8163,8131,32,0.003920127404140635
15067Aghowle,242,242,0,0
16005Kilrush Urban,2571,2570,1,3.8895371450797355e-4
16027Clenagh,10299,10386,-87,-0.008447422079813574
16032Ennis Rural,17709,17720,-11,-6.211530860014681e-4
16041Sixmilebridge,2681,2685,-4,-0.0014919806042521448
16052Cloonanaha,267,267,0,0
16097Moveen,87,87,0,0
16129Derrynagittagh,137,137,0,0
17008Bishopstown C,4925,4941,-16,-0.003248730964467005
17011Blackpool A,690,690,0,0
17012Blackpool B,2185,2199,-14,-0.006407322654462242
17014Centre A,868,875,-7,-0.008064516129032258
17015Centre B,2117,2147,-30,-0.014170996693434105
17043Mahon B,4937,4936,1,2.0255215718047398e-4
17054Shanakiel,3638,3645,-7,-0.0019241341396371632
17056Shandon B,1401,1414,-13,-0.009279086366880799
17061The Glen A,2466,2466,0,0
17068Tramore A,793,798,-5,-0.006305170239596469
18001Clonakilty Urban,4061,4067,-6,-0.0014774686037921695
18008Midleton Urban,3881,3886,-5,-0.0012883277505797476
18075Ballincollig,18621,18663,-42,-0.002255517963589496
18080Blarney,5607,5606,1,1.7834849295523454e-4
18081Caherlag,7481,7485,-4,-5.346878759524128e-4
18082Carrigaline,12118,12146,-28,-0.0023106123122627496
18086Douglas,21041,21079,-38,-0.0018059978137921202
18092Inishkenny,5650,5677,-27,-0.004778761061946903
18096Lehenagh,10323,10371,-48,-0.004649811101424005
18099Monkstown Urban,5219,5217,2,3.832151753209427e-4
18100Ovens,2342,2351,-9,-0.003842869342442357
18131Fermoy Rural,4859,4865,-6,-0.001234821979831241
18193Liscleary,4641,4644,-3,-6.464124111182935e-4
18197Aghinagh,478,478,0,0
18216Mountrivers,694,694,0,0
18247Ballycottin,1692,1692,0,0
18249Carrigtohill,7334,7344,-10,-0.0013635124079629125
18250Castlemartyr,1041,1041,0,0
18260Midleton Rural,8922,8928,-6,-6.724949562878278e-4
18300Gortnascreeny,502,499,3,0.00597609561752988
19001Killarney Urban,10826,10798,28,0.0025863661555514503
19003Tralee Urban,4954,4968,-14,-0.002825999192571659
19025Valencia,657,657,0,0
19026Ballinvoher,560,557,3,0.005357142857142857
19033An Daingean,1623,1617,6,0.0036968576709796672
19036Na Gleannta,1846,1841,5,0.0027085590465872156
19082Killarney Rural,6952,6951,1,1.4384349827387802e-4
19144Cordal,278,278,0,0
19165Tralee Rural,17825,17884,-59,-0.003309957924263675
20014Dock A,2339,2377,-38,-0.016246259085079092
20065Limerick North Rural,6801,6807,-6,-8.82223202470225e-4
21051Ballycummin,18388,18489,-101,-0.005492712638677399
21052Ballysimon,13590,13671,-81,-0.005960264900662252
21053Ballyvarra,4288,4300,-12,-0.002798507462686567
21099Mountcollins,486,485,1,0.00205761316872428
21102Newcastle Urban,5104,5105,-1,-1.9592476489028212e-4
22040Killoscully,457,457,0,0
22059Roscrea,6305,6288,17,0.002696272799365583
23084Cashel Urban,2412,2418,-6,-0.0024875621890547263
23085Clonmel East Urban,3963,3971,-8,-0.0020186727226848347
23096Cashel Rural,2971,2985,-14,-0.004712218108381017
23118Ballybacon,472,472,0,0
23133Clonmel Rural,5652,5668,-16,-0.0028308563340410475
23141Ballingarry,708,707,1,0.0014124293785310734
24005Ballynakill,2125,2129,-4,-0.0018823529411764706
24007Ballytruckle,5938,5942,-4,-6.736274840013472e-4
24011Cleaboy,2556,2556,0,0
24016Gracedieu,1662,1653,9,0.005415162454873646
24017Grange North,883,873,10,0.011325028312570781
24018Grange South,2722,2735,-13,-0.004775900073475386
24031Park,1520,1525,-5,-0.003289473684210526
24033Roanmore,812,812,0,0
25083Tramore,9545,9537,8,8.381351492928235e-4
26001Ballybaan,13019,13062,-43,-0.0033028650433981105
26003Bearna,15185,15256,-71,-0.004675666776424103
26004An Caisleán Gearr,4053,4058,-5,-0.001233654083395016
26006Dangan,4132,4194,-62,-0.015004840271055178
26010Mionlach,5118,5132,-14,-0.0027354435326299334
26011Mervue,1831,1826,5,0.002730748225013654
26015Rahoon,3076,3082,-6,-0.0019505851755526658
26018Paróiste San Nicoláis,2394,2398,-4,-0.001670843776106934
26019Salthill,3633,3643,-10,-0.0027525461051472614
26021Taylors Hill,2966,2977,-11,-0.0037086985839514496
27001Ballinasloe Urban,6660,6667,-7,-0.001051051051051051
27059Maigh Cuilinn,2142,2142,0,0
27066Ballinastack,332,331,1,0.0030120481927710845
27077Scregg,229,229,0,0
27080Toberroe,300,300,0,0
27084Beagh,705,705,0,0
27085Cahermore,525,525,0,0
27124Lackalea,402,402,0,0
27128Loughrea Urban,5537,5558,-21,-0.0037926675094816687
27144Killeroran,1300,1300,0,0
27216Tuam Urban,3511,3553,-42,-0.011962403873540303
28052Manorhamilton,1892,1885,7,0.0036997885835095136
29003Castlebar Urban,6163,6175,-12,-0.0019471036832711343
29023Kilfian West,109,109,0,0
29028Letterbrick,125,125,0,0
29074Castlebar Rural,7308,7319,-11,-0.00150519978106185
30001Athlone West Rural,4978,4995,-17,-0.0034150261149055844
30029Ballyfermoyle,164,164,0,0
30034Creeve,120,120,0,0
30105Roscommon Rural,4929,4943,-14,-0.0028403327246906067
30106Roscommon Urban,1723,1734,-11,-0.006384213580963436
31001Sligo East,4998,5011,-13,-0.0026010404161664665
31002Sligo North,5222,5220,2,3.8299502106472615e-4
31003Sligo West,7219,7221,-2,-2.770466823659787e-4
31012Kilmactranny,320,319,1,0.003125
31054Lakeview,432,430,2,0.004629629629629629
31059Riverstown,689,687,2,0.002902757619738752
32001Cavan Urban,3770,3772,-2,-5.305039787798408e-4
32012Skeagh,406,406,0,0
32013Taghart,618,618,0,0
32022Doogary,142,142,0,0
32029Ballyjamesduff,3238,3237,1,3.0883261272390367e-4
32037Ashfield,358,358,0,0
32043Bruce Hall,212,212,0,0
32048Cavan Rural,8273,8284,-11,-0.0013296264958298078
33003Letterkenny Urban,2199,2206,-7,-0.0031832651205093224
33032Na Croisbhealaí,1952,1952,0,0
33069Buncrana Rural,3836,3836,0,0
33097Castlewray,3477,3491,-14,-0.004026459591601955
33100Edenacarnan,1657,1657,0,0
33104Kincraigy,1026,1026,0,0
33105Letterkenny Rural,11398,11645,-247,-0.021670468503246183
33111Carraig Airt,895,895,0,0
33114Fánaid Thuaidh,520,519,1,0.0019230769230769232
33134Clonleigh South,2173,2165,8,0.0036815462494247586
33139Gleneely,1570,1569,1,6.369426751592356e-4
33148Treantaghmucklagh,802,802,0,0
34004Monaghan Urban,2410,2428,-18,-0.007468879668049793
34016Kilmurry,615,615,0,0
34063Monaghan Rural,6199,6197,2,3.2263268269075657e-4
